"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.0153688524590164,0.00162226775956284,0.00162226775956284,0.00162226775956284,0.000324453551912568,0.000204918032786885,0.000956284153005464,0.00413251366120219,0.00228825136612022,0.000512295081967213,0.000341530054644809,8.53825136612022e-05,7.43582025546753e-05
0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.184426229508197,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0183002148227712,0.00923852183650616,0.00277496626180837,0.0125291103865859,0.00460526315789474,0.00131578947368421,0.00241228070175439,0,0
0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0183002148227712,0.00923852183650616,0.00277496626180837,0.0125291103865859,0.00460526315789474,0.00131578947368421,0.00241228070175439,0,0
0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0194672131147541,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0230263157894737,0.0183002148227712,0.00923852183650616,0.00277496626180837,0.0125291103865859,0.00460526315789474,0.00131578947368421,0.00241228070175439,0,0
