draw,age_group,A0,A1,A2,A3,E0,E1,E2,E3,I0,I1,I2,I3,R0,R1,R2,R3,S0,S1,S2,S3
1,1,2.26993290666375,0.00971732380021109,8.83872089797846e-05,2.12857693468184e-07,46.1215771534402,0.202554021010356,0.00242372424449645,5.91522146679342e-06,52.6975797680509,0.225592326799754,0.00205195139557381,4.94159331663654e-06,670.063112152709,8.43960179249688,0.0722634201400913,0.000119962593556359,29575.3164945815,134.439503210619,1.93593224600458,0.0137300717190534
1,2,3.18200556455555,0.0469332982115358,0.000548321231291696,1.44483444374733e-06,55.6679542932793,0.960821857993709,0.0149893603333564,4.00644385443658e-05,73.8717834206839,1.08957899989883,0.0127295400404495,3.35425237140197e-05,2385.61718467989,49.5604621298479,0.476134935395658,0.000852476972077012,31225.8521746361,627.150465640903,11.9302137096761,0.0927696984637784
1,3,3.3755806519651,0.125515565771513,0.00177673718583901,5.11321742059136e-06,56.356854149266,2.54449394966532,0.0484496860767791,0.000141476749894561,78.3657218009442,2.9139039836635,0.041247804859231,0.000118705791744758,5358.25299708084,153.796434361086,1.63394223012473,0.00320000466528923,30914.6680824284,1646.68279809656,38.4532934760616,0.32679393800955
1,4,3.21784996436465,0.243633001839503,0.00402743891239455,1.27396214168338e-05,52.8638061411738,4.90994409323253,0.109594387648745,0.000351642271759786,74.7039283323827,5.6560568424187,0.0934989235689789,0.000295756413706117,9347.89677910676,336.261269850197,3.92879392889314,0.00867179104554298,28810.2193356898,3161.71073041329,86.7783959884825,0.810089230759205
1,5,2.88839536221025,0.38364131862218,0.0072377145668006,2.5633402361035e-05,47.1096457318308,7.70187706299683,0.196588172230091,0.00070549194664192,67.0554819285196,8.90641698310219,0.168027010667438,0.000595091714685329,13734.0486421302,585.105489511596,7.55128048361639,0.0197374594833964,25586.1322855844,4943.81731712352,155.340719162931,1.62009117500797
1,6,2.5090830384204,0.522404108972678,0.0111179816903367,4.56098978914593e-05,40.7434202863448,10.4599980367842,0.301455026792291,0.0012507442387214,58.2495646341185,12.1278616310325,0.258109270660058,0.00105885562753502,17840.5462040493,870.77544122013,12.6261646849892,0.0415496254985181,22073.1922297814,6699.80140694589,237.743730002636,2.86078971802727
1,7,2.16041772561573,0.64229496646443,0.0154239774214477,7.67887480829014e-05,34.967068105482,12.8363825591349,0.417459852896435,0.0020966445585451,50.1551323802235,14.911185317642,0.358075024209409,0.00178268756997534,21215.3552271927,1166.91244639004,19.6018006572311,0.0851958402358011,18905.2074674989,8209.40821210693,328.581375994763,4.77279482068687
1,8,1.87919501984608,0.7359000578273,0.020203256241029,0.000127649636143968,30.3350416999396,14.6865628813786,0.545741395358897,0.00346949320981607,43.626412554903,17.0842723522013,0.469028271368952,0.00296344744961922,23708.251013869,1466.99278583734,29.6734589586201,0.171852608457383,16372.8287673416,9382.12741790702,428.624555735528,7.85824827184193
1,9,1.66777860130779,0.804401844730192,0.0258755758002701,0.000212255122407341,26.8633712716168,16.0357646808304,0.697440952532858,0.0057453704693607,38.7182791261613,18.674574148775,0.60071388708273,0.00492760434081639,25387.0800186806,1788.41188410934,44.9936170994325,0.336689320002017,14478.2082760963,10234.8835927709,546.455622329066,12.953678322534
1,10,1.51035368829325,0.853335871512936,0.0331354557282431,0.000349914513774009,24.2833195980174,16.9942297588406,0.891057366457296,0.00944060237484741,35.0635843610833,19.8106010208404,0.769255477227404,0.0081234330527885,26409.4099346453,2165.38798144081,68.5426906847703,0.631741558313874,13071.8586336583,10837.9652315746,696.379901690531,21.2074364126357
1,11,1.3868183450977,0.888918507111326,0.0427446861637965,0.000563301814856174,22.2628062497679,17.6847604109594,1.14687779841471,0.0151605188457117,32.195652193084,20.6366689509977,0.992338364787909,0.0130773214638755,26930.9160535313,2636.38752987066,103.688487014621,1.12842612025071,11971.9355957149,11269.1704117554,894.082567712343,33.9634635457759
1,12,1.28052121801788,0.916107060836815,0.0553010272009941,0.000875869325980694,20.5291962131395,18.204936948601,1.48079966336349,0.0235292231683781,29.7279134696359,21.2678642495551,1.28383983668608,0.020333725960251,27069.3913863419,3231.43864297894,153.593706533447,1.92252907044203,11029.9445095964,11590.1441908231,1151.83675023343,52.6024590527535
1,13,37.4638513431467,71.6430986396757,25.3505460525618,6.76796699084235,165.440958090992,374.741518947017,174.263722473892,45.9542218930274,200.370851146442,375.756067723878,131.938438240084,35.1858356250345,235085.549062365,140333.472000878,54111.4020275783,18311.7211345071,35737.0763376277,94162.096532772,52674.6907504805,39273.399231348
1,14,8.49909014607071,41.44751777963,29.0534375108949,15.3764975153424,35.2706737008501,211.808752128091,198.493230108561,104.032613934416,44.2978431565515,215.521362242262,151.03666067271,79.9349636164888,139924.989182744,158500.825557912,101357.906081249,51963.8274547709,7938.10997026309,56497.0985456378,64242.9015263412,95384.2521496792
1,15,1.94404625922832,23.6394793100971,26.4530670476123,24.2288635589187,8.08835925315115,120.773980115625,180.545701759601,163.667679011293,10.1085444999504,122.891100283212,137.516654123993,125.954077058918,77833.1193995338,137302.173655329,125053.591155936,95205.8153926987,1831.67621995698,32230.8561665788,58375.4113229631,149801.154144116
1,16,0.497697419680988,13.4811265334888,21.2195880433601,31.6897278601197,2.07841375255379,68.808106782259,144.666896279169,213.762133296521,2.58733719916907,70.0818356674336,110.310317282756,164.73948115383,43354.1777157025,106352.965798977,126264.956085942,141371.558064709,471.919282488531,18348.2421375552,46717.5731622997,195338.09503374
1,17,0.861283745001928,83.8778133140822,202.319304762681,1242.94616567938,1.22352253771641,138.753704707177,441.612648892889,2671.57307575924,0.853477306715925,80.0549196273108,191.931611283535,1173.89400255388,48305.061304709,179571.605573007,335223.043558911,1716322.6620557,120.620683512324,15761.893001041,60593.7046367074,1034124.07531933
