"age_group","pop"
1,56605.4166666667
2,56605.4166666667
3,56605.4166666667
4,56605.4166666667
5,56605.4166666667
6,56605.4166666667
7,56605.4166666667
8,56605.4166666666
9,56605.4166666667
10,56605.4166666667
11,56605.4166666666
12,56605.4166666667
13,679265
14,679265
15,679265
16,679265
17,3396325
18,3396325
19,6792650
20,6792650
21,6792650
22,6792650
23,6792650
24,6792650
25,4799725
