draw,qp,alpha_i,b1,phi,psi,om,si,d1,d2,d3,pA1,pA2,pA3,pA4,g0,g1,g2,qc
41,0.0997404,0.692532,1.99783,0.609427,0.236567,357.686,5.21491,0.90932,0.804737,0.323191,0.117219,0.193286,0.524818,0.746867,5.86223,0.889649,0.765197,0.999715
42,0.0952889,0.582566,1.99529,0.613172,0.222958,358.789,5.12104,0.907227,0.761245,0.350919,0.141961,0.189339,0.461671,0.72546,6.20053,0.887907,0.836171,0.997335
43,0.0992001,0.594057,1.99694,0.609493,0.222194,357.071,5.25898,0.921878,0.752955,0.353274,0.0932053,0.20116,0.532592,0.701742,5.84296,0.895515,0.843293,0.999776
44,0.0969071,0.500744,1.9948,0.620473,0.252886,351.999,4.24463,0.921232,0.636784,0.412578,0.196684,0.196703,0.536805,0.668149,5.67033,0.890267,0.909011,0.999568
45,0.0982055,0.504856,1.99913,0.615519,0.261538,346.594,4.32088,0.910328,0.693309,0.384975,0.0812704,0.221816,0.577971,0.67378,5.42447,0.900155,0.900867,0.999215
46,0.0973417,0.692332,1.99961,0.615192,0.230977,357.544,5.24129,0.879571,0.815261,0.343021,0.105253,0.178691,0.537818,0.792512,5.75771,0.86092,0.838335,0.999354
47,0.094878,0.488485,1.99854,0.616853,0.254859,346.946,4.23648,0.914902,0.694079,0.376837,0.0974947,0.195188,0.501667,0.692338,5.62262,0.870746,0.935699,0.999524
48,0.0989372,0.572889,1.9981,0.611872,0.239474,362.155,4.72499,0.887087,0.792064,0.329398,0.107461,0.153274,0.497429,0.743404,6.40791,0.869671,0.791387,0.997447
49,0.0982693,0.722023,1.99907,0.60978,0.235677,358.165,5.23584,0.894734,0.816475,0.324749,0.107192,0.200738,0.523224,0.756788,5.77742,0.880255,0.79044,0.998303
50,0.0964851,0.505779,1.99818,0.617057,0.261405,342.978,4.27161,0.905414,0.729934,0.358207,0.106796,0.185543,0.549771,0.698761,5.81201,0.884773,0.86119,0.996343
51,0.0963551,0.559335,1.99753,0.611327,0.223128,354.652,5.14695,0.889745,0.772194,0.352214,0.0843554,0.21329,0.450665,0.742577,6.775,0.909767,0.736782,0.998687
52,0.0925661,0.621775,1.99748,0.612883,0.235048,357.895,4.54319,0.876167,0.808583,0.327064,0.162412,0.149262,0.525404,0.800981,6.54549,0.86662,0.828586,0.998093
53,0.0962235,0.64443,1.99534,0.618893,0.231202,361.847,4.92991,0.855157,0.916138,0.311167,0.142654,0.0841601,0.551565,0.818945,6.5225,0.860605,0.773326,0.998286
54,0.0948023,0.565977,1.99875,0.61198,0.22938,356.757,5.00003,0.915088,0.761092,0.349854,0.0841106,0.195712,0.49053,0.69292,6.07237,0.892288,0.848077,0.99956
55,0.0970576,0.65131,1.99769,0.612565,0.241287,361.961,4.98671,0.882998,0.856906,0.311764,0.0763591,0.157851,0.451636,0.738476,6.37904,0.850643,0.750345,0.999817
56,0.0964146,0.573766,1.97184,0.625029,0.250182,357.741,4.63691,0.865976,0.833086,0.354291,0.0950501,0.15772,0.498334,0.797876,5.85861,0.901741,0.789165,0.997346
57,0.096337,0.634348,1.99973,0.614926,0.236056,362.526,4.91735,0.893687,0.782423,0.335977,0.0992697,0.191266,0.469529,0.834073,6.19078,0.882273,0.809533,0.998688
58,0.0966912,0.666898,1.99903,0.616653,0.22554,359.119,5.0939,0.867518,0.849918,0.322161,0.149395,0.147054,0.498975,0.802352,6.31265,0.856146,0.808188,0.999578
59,0.0994599,0.645395,1.99645,0.622797,0.231281,361.33,5.21943,0.876944,0.844012,0.333365,0.0737955,0.139303,0.506434,0.740524,6.16398,0.861422,0.774849,0.999616
60,0.0980651,0.667254,1.99918,0.611439,0.242362,356.846,4.93819,0.891286,0.808912,0.324525,0.0874021,0.155141,0.536937,0.736023,5.81972,0.892317,0.795288,0.999573
61,0.0959148,0.512298,1.99895,0.616841,0.247705,356.999,4.64957,0.84609,0.829251,0.355181,0.14152,0.191288,0.488403,0.706446,6.32433,0.890311,0.778417,0.999441
62,0.099924,0.625627,1.9998,0.612507,0.239811,361.991,5.01896,0.91059,0.805539,0.317812,0.0693697,0.171242,0.505,0.751504,6.27932,0.899611,0.734341,0.999858
63,0.0986932,0.68932,1.99838,0.614732,0.24691,363.233,4.90889,0.897472,0.78294,0.331326,0.0537404,0.158428,0.509415,0.766666,5.89798,0.842442,0.816184,0.99998
64,0.0968799,0.506719,1.99938,0.611494,0.259131,350.035,4.26553,0.905383,0.663844,0.398108,0.18795,0.208311,0.554137,0.694534,5.48504,0.890159,0.930258,0.999052
65,0.0979256,0.638703,1.99899,0.617485,0.244966,361.062,4.83333,0.900324,0.831808,0.318488,0.0757137,0.120429,0.540799,0.757138,6.30942,0.838532,0.778678,0.99847
66,0.0972112,0.521904,1.99813,0.612942,0.246764,346.131,4.53275,0.894869,0.731647,0.365867,0.14714,0.215041,0.541672,0.725626,5.65343,0.892896,0.895296,0.999369
67,0.0981906,0.552207,1.99877,0.623244,0.24308,360.944,4.66472,0.870011,0.84021,0.33576,0.0777106,0.12484,0.541618,0.731345,6.23606,0.883706,0.791855,0.999905
68,0.0996275,0.671105,1.99818,0.612681,0.242368,356.908,5.16689,0.877761,0.775815,0.346517,0.0713527,0.206064,0.523982,0.767627,6.14074,0.874223,0.757494,0.999561
69,0.096928,0.60632,1.9989,0.610686,0.231176,355.208,5.1284,0.88249,0.7883,0.347686,0.0151082,0.195594,0.486285,0.677226,5.94444,0.890958,0.818312,0.999931
70,0.0999431,0.511261,1.97905,0.615571,0.228796,355.719,4.85274,0.919963,0.717621,0.389834,0.0470099,0.20664,0.521849,0.780666,6.21272,0.891981,0.803752,0.988141
