"","age_group","N","frac_S","frac_R","prev_E","prev_A","prev_I"
"1",1,0.0138611039850867,0.990546765526452,0.00865462041735115,0.000426749663890961,1.53564747582299e-05,0.000356507917547783
"2",2,0.0936972272325575,0.990100787438704,0.00909820917070636,0.000427594708271627,1.54202476041392e-05,0.000357988434713941
"3",3,0.330259238433899,0.98950733235872,0.00968937214433049,0.000428380900305617,1.54824356915446e-05,0.000359432160952302
"4",4,0.819421160111631,0.98861155922413,0.0105828253743918,0.000429134966092261,1.55470984116377e-05,0.000360933336973901
"5",5,1.64115485155506,0.987165332675874,0.012026567428841,0.000429875307606373,1.56191247503222e-05,0.000362605462928412
"6",6,2.90469455328994,0.984884870179228,0.014304301101628,0.000430594066183233,1.57021322051919e-05,0.000364532520755316
"7",7,4.86194678179928,0.981663320247324,0.0175229890534245,0.000431235604304411,1.57938273554043e-05,0.000366661267591172
"8",8,8.03666147059489,0.977800085345668,0.0213835818624648,0.00043170826872707,1.58834158451269e-05,0.000368741107294626
"9",9,13.3012528724686,0.973869036754122,0.0253126019954788,0.000431942052710888,1.59575285458014e-05,0.000370461669142138
"10",10,21.857091920891,0.970277129702038,0.0289032759069863,0.000431923991033047,1.60091980690057e-05,0.000371661201873984
"11",11,35.120690808151,0.967049985756357,0.0321299522954946,0.000431669152766013,1.60390300388237e-05,0.000372353765343374
"12",12,54.5697269416502,0.963949464306461,0.0352306888487409,0.000431177220174425,1.60504619514999e-05,0.000372619162672249
"13",13,57673.028390364,0.680966481689208,0.317509269854236,0.000796806118485455,0.00011735064344173,0.000610091694628496
"14",14,147547.423679516,0.646465046769374,0.352183902361048,0.000705079162618135,0.000104213934285571,0.00054175777267459
"15",15,245320.820156444,0.610633675725469,0.388086976604696,0.000667157719866254,9.87639921612346e-05,0.000513425957807394
"16",16,337119.844440759,0.579432205653103,0.419351042058135,0.000634083507160862,9.40013718643263e-05,0.000488667409737071
"17",17,2755535.15061902,0.375289741844526,0.622863642900775,0.000969529666554639,0.000451072513228569,0.000426013074915835
"18",18,3205125.40898387,0.341219085333709,0.657169957773506,0.000844173281336242,0.000394626011775985,0.000372157599673081
"19",19,6742391.0885502,0.436057446826452,0.562994991457959,0.00049049382491112,0.000353227082328984,0.000103840808348826
"20",20,6787767.84461936,0.493046355583548,0.506048945198031,0.000469097504662498,0.000336863576077888,9.87381376803473e-05
"21",21,6792293.69981554,0.468560830212708,0.530452371667719,0.000512358198924019,0.000366898623460308,0.000107541297189277
"22",22,6792629.43704412,0.54977547551279,0.449490940829365,0.000378512260671756,0.000274587363575558,8.04840335977501e-05
"23",23,6792649.02294493,0.669391341183921,0.330112541698659,0.000255124235243515,0.000186367025573627,5.46258566029697e-05
"24",24,6792649.96075899,0.750797086066282,0.248859032072078,0.000176702871544202,0.000129284528410871,3.78944616850401e-05
"25",25,4799724.99866322,0.759532833703411,0.240131508091507,0.000172537698479606,0.00012614598137089,3.69745252315825e-05
